date,id,news_heading_eng,news_heading_swa,News type
2021-08-09,tl658,fear thieves trying to excavate the body of a member of parliament,waogopa wezi kujaribu kuufukua mwili wa mbunge,Local News
2021-09-04,tl804,tsc punishes teachers who charge higher fees,tsc yawaadhibu walimu wanaotoza ada ya juu,Local News
2021-02-05,tl1498,this love : kenyans congratulate nameless and wahu with unique composition to welcome valentino dei,upendo huu : wakenya wampongeza nameless na wahu kwa utunzi wa kipekee wa kumkaribisha valentino dei,Entertainment news
2021-09-28,tl943,dkt flo : is pimple in the private area a health problem ?,dkt flo : je chunusi katika eneo binafsi ni tatizo la kiafya ?,Health news
2021-03-19,tl1747,magufuli imitating trump ignoring corona,magufuli kumuiga trump kupuuza corona,International news
2021-06-23,tl338,old people 's money should be used for widows,fedha za wazee zitumike kwa wajane,Local News
2021-09-23,tl916,the ugandan team arrives for the world cup qualifying match against the junior harambee starlets,timu ya uganda yawasili kwa mechi ya kufuzu kwa kombe la dunia dhidi ya junior harambee starlets,Sports news
2021-06-25,tl396,the ugandan parliament has recorded 200 cases of corona infection within 3 weeks,bunge la uganda limerekodi visa 200 vya maambukizi ya corona ndani ya wiki 3,Health news
2021-06-22,tl325,christina munyao is influencing the film industry in the country,christina munyao anashawishi tasnia ya filamu nchini,Entertainment news
2021-02-08,tl1512,activities are back to normal after the school that turned classrooms into rental houses opened,shughuli zimerejea katika hali ya kawaida baada ya shule iliyogeuza madarasa kuwa nyumba za kupangisha kufunguliwa,Local News
2021-08-22,tl728,religion : we do n't have to pray in bad and good times lest we be captured by pride !,dini : hatuna haja ya kuomba katika nyakati mbaya na nzuri tusije tukatekwa kwa kiburi !,Local News
2021-03-04,tl1649,we provide important services we should be given the corona vaccine say the bodaboda people .,tunatoa huduma muhimu tupewe chanjo ya corona tuseme watu wa bodaboda .,Health news
2021-10-22,tl1059,buses resume their night trips the government hesitates to issue guidance,mabasi yaanza safari zao za usiku serikali yasita kutoa mwongozo,Local News
2021-09-27,tl937,the water project was interrupted by scammers on mukuru street and caused a water shortage,mradi wa maji ulikatizwa na matapeli katika mtaa wa mukuru na kusababisha uhaba wa maji,Local News
2021-06-13,tl279,governors now stomach about stalled projects,magavana sasa tumbo kuhusu miradi iliyokwama,Local News
2021-03-22,tl1762,cyrus ruru dies and leaves questions about diwani 's death 2012,koreshi ruru afariki dunia na kuacha maswali kuhusu kifo cha diwani 2012,Local News
2021-11-03,tl1076,uhuru urges leaders to face climate change .,uhuru awataka viongozi kukabiliana na mabadiliko ya tabianchi .,Local News
2021-10-08,tl1012,relief for carwash-zimmerman residents as roads are reinforced,afueni kwa wakazi wa carwash-zimmerman huku barabara zikiimarishwa,Local News
2021-06-10,tl222,africa should not complain about europe giving it the nickname 'the dark continent ',afrika haipaswi kulalamika kuhusu ulaya kuipa jina la utani 'bara la giza ',International news
2021-03-11,tl1687,senator accused of armed theft,seneta atuhumiwa kwa wizi wa kutumia silaha,Local News
2021-02-15,tl1556,sheng is not the language of the court the accused is warned,sheng sio lugha ya mahakama mtuhumiwa aonywa,Local News
2021-12-28,tl1159,10 suspects arrested for stealing sh3 million from a warehouse,watuhumiwa 10 wakamatwa kwa kuiba sh3 milioni kwenye ghala,Local News
2021-10-05,tl996,cattle breeders threaten to boycott aid if they are not also given feed for their livestock,wafugaji wa ng'ombe watishia kususia misaada iwapo pia hawatapewa chakula kwa ajili ya mifugo yao,Local News
2021-08-01,tl623,the commissioner orders the sellers of fake masks to be arrested,kamishna aagiza wauzaji wa barakoa bandia wakamatwe,Local News
2021-07-04,tl450,the palms of the feet sweat profusely,viganja vya miguu vinatokwa na jasho jingi,Local News
2021-04-28,tl1316,government shuts down mt kenya tv for misleading children,serikali yafunga televisheni ya mt kenya kwa kuwapotosha watoto,Local News
2021-09-07,tl820,supa mulei bags were found in the house of the police officer charged with the murder of lawyer willie kimani,mifuko ya supa mulei ilipatikana katika nyumba ya afisa wa polisi aliyeshtakiwa kwa mauaji ya wakili willie kimani,Local News
2021-06-28,tl407,drama kidnapping suspects being caught,tamthiliya za utekaji nyara watuhumiwa wakamatwa,Local News
2022-01-07,tl5,new methods used to maintain street safety,mbinu mpya zinazotumika kudumisha usalama mitaani,Local News
2021-07-27,tl588,two brothers accused of stealing sh 0.2m from their brother,ndugu wawili washtakiwa kwa kuiba sh 0.2m kutoka kwa ndugu yao,Local News
2021-02-14,tl1542,county distributes 100000 condoms .,kaunti inasambaza kondomu 100000 .,Health news
2021-07-28,tl600,corruption cases : he does not defend himself,kesi za rushwa : hajitetei,Local News
2021-09-06,tl812,mutua wants the ministry to stop the pattern of students arriving to school very early,mutua ataka wizara kusitisha mtindo wa wanafunzi kufika shuleni mapema sana,Local News
2021-10-01,tl981,kdf build waboni boarding school,kdf wajenga shule ya bweni ya waboni,Local News
2021-10-21,tl1058,matatu owners are excited about kafyu 's removal,wamiliki wa matatu wafurahishwa na kuondolewa kwa kafyu,Local News
2021-07-10,tl473,hundreds lose uon jobs as departments are disbanded,mamia wapoteza kazi za uon huku idara zikivunjwa,Local News
2021-05-13,tl1388,preparations for idd yanoga ramadhan coming to an end,maandalizi ya idd yanoga ramadhan kufika mwisho,Local News
2021-08-25,tl744,raila azuru tz on his way back to kenya from zambia,raila azuru tz akiwa njiani kurejea kenya kutoka zambia,Local News
2021-09-04,tl803,the commissioner wants the government to provide a plane to search for students,kamishna aitaka serikali itoe ndege ya kutafuta wanafunzi,Local News
2022-03-07,tl32,some figures referring to jubilee 's success are questioned,baadhi ya takwimu zinazozungumzia mafanikio ya jubilee zinahojiwa,Local News
2021-05-18,tl1418,tanzania : committee recommends lockdown to reduce covid-19 infections,tanzania : kamati yapendekeza lockdown kupunguza maambukizi ya covid-19,Local News
2022-05-05,tl70,nmg gives support to children 's homes,nmg yatoa msaada kwa makao ya watoto,Local News
2021-04-10,tl1224,odm mps criticize the demolition of njiru .,wabunge wa odm wakosoa ubomoaji wa njiru .,Local News
2021-07-04,tl452,43 migrants die when boat sinks,wahamiaji 43 wafariki wakati boti inazama,Local News
2021-11-15,tl1091,thieves of public property we will discipline them - moi,wezi wa mali ya umma tutawaadhibu - moi,Local News
2022-01-02,tl3,victims of the mukuru-kayaba fire tragedy receive aid,waathiriwa wa janga la moto la mukuru-kayaba wapokea msaada,Local News
2021-07-28,tl596,lynn believes one day they will accept her career in acting,lynn anaamini siku moja watakubali kazi yake katika uigizaji,Local News
2021-09-26,tl929,methods used by fraudsters to import products from somalia,mbinu zinazotumiwa na wadanganyifu kuagiza bidhaa kutoka somalia,Local News
2021-06-26,tl406,fear bwanyenye another famous being killed,hofu bwanyenye mwingine maarufu kuuawa,Local News
2021-09-19,tl891,koome orders four-year-old cases to be finished,koome aamuru kesi za miaka minne kumalizika,Local News
2021-03-19,tl1751,kizaazaa judge lamenting bobi wine 's case file has disappeared,jaji wa kizaazaa anayeomboleza faili ya kesi ya bobi wine ametoweka,Local News
2021-02-05,tl1501,order for health care workers to leave government houses,agizo la watumishi wa huduma za afya kuondoka kwenye nyumba za serikali,Health news
2021-02-07,tl1506,a nurse tells how she was forced to be circumcised at 6 years old,muuguzi asimulia jinsi alivyolazimishwa kutahiriwa akiwa na umri wa miaka 6,Local News
2021-06-04,tl180,kagwe warns kenyans against corona vaccine scammers,kagwe awaonya wakenya dhidi ya matapeli wa chanjo ya corona,Local News
2021-04-25,tl1296,how the covid-19 pandemic has contributed to the increase in cases of sexual violence,jinsi janga la covid-19 lilivyochangia ongezeko la visa vya unyanyasaji wa kijinsia,Local News
2021-09-17,tl883,330000 girls get pregnant 2020 – report,wasichana 330000 kupata mimba 2020 - ripoti,Local News
2021-07-25,tl579,physicians are warned against treating what they do not understand,madaktari waonywa dhidi ya kutibu kile wasichokielewa,Health news
2022-06-23,tl116,thika superhighway bridge to be built juja,daraja la thika superhighway kujengwa juja,Local News
2021-08-01,tl617,we need to be creative in our jobs at first,tunahitaji kuwa wabunifu katika ajira zetu mwanzoni,Local News
2021-02-03,tl1484,those who call themselves 'mahasla ' will be sent to jail,wale wanaojiita 'mahasla ' watapelekwa jela,Local News
2021-07-19,tl526,atlanta fires coach gabriel heinze after managing just 13 mls games,kocha wa atlanta afukuzwa kazi gabriel heinze baada ya kusimamia mechi 13 tu za mls,Sports news
2021-03-27,tl1788,several survivors die after bus loses direction thika road,manusura kadhaa wafariki baada ya basi kupoteza mwelekeo barabara ya thika,Local News
2021-03-07,tl1670,uhuru orders kdf land to be returned to the samburu community,uhuru aagiza ardhi ya kdf irejeshwe kwa jamii ya samburu,Local News
2021-07-04,tl449,corona is very dangerous even for those who got the vaccine - who,corona ni hatari sana hata kwa wale waliopata chanjo - who,Health news
2021-05-09,tl1365,the court opens projects worth billions of money on the coast,mahakama yafungua miradi yenye thamani ya mabilioni ya pesa pwani,Local News
2022-06-07,tl93,nassir inside and sonko fighting,nassir ndani na sonko mapigano,Local News
2021-08-30,tl769,ole lenku goes to arabia to save a tortured girl,ole lenku aenda uarabuni kumuokoa msichana aliyeteswa,International news
2022-07-07,tl133,marijuana found growing in a luxury house in eldoret,bangi yapatikana ikikua katika nyumba ya kifahari eldoret,Entertainment news
2021-03-30,tl1811,kio mombasa county to order residents to use new bridge instead of ferries,kaunti ya kio mombasa kuwaagiza wakazi kutumia daraja jipya badala ya feri,Local News
2021-10-08,tl1008,joho is ordered to open the buxton project contract,joho aamriwa kufungua mkataba wa mradi wa buxton,Local News
2021-07-12,tl481,tourism investment strengthening the coast - stakeholders,utalii uwekezaji kuimarisha pwani - wadau,Financial news
2021-02-17,tl1563,raila swallowed 'tear gas ' of sh50m,raila alimeza 'gesi ya machozi ' ya sh50m,Local News
2021-02-15,tl1548,garissa senator yusuf haji dies,seneta wa garissa yusuf haji afariki dunia,Local News
2021-06-18,tl303,gatundu drunkards alcohol rebels to engage in useful work,gatundu amelewa waasi wa pombe kujihusisha na kazi muhimu,Local News
2021-08-01,tl618,gal-gadot varsano is set to reach its peak,gal-gadot varsano inatarajiwa kufikia kilele chake,Entertainment news
2022-05-14,tl77,the brightermonday network is the most preferred by job seekers in the country says the report,mtandao wa brightermonday ndio unaopendelewa zaidi na wanaotafuta kazi nchini inasema ripoti hiyo,Local News
2021-03-04,tl1655,echesa is caught slapping an iebc official in the matungu by-election,echesa akamatwa akimpiga kofi afisa wa iebc katika uchaguzi mdogo wa matungu,Local News
2021-07-13,tl482,women take on the roles of old men only if they eat !,wanawake wanachukua majukumu ya wanaume wazee wakila tu !,Local News
2021-06-11,tl242,country borrowing sh929 billion,nchi kukopa sh929 bilioni,Financial news
2021-05-11,tl1394,kenya high up,kenya ya juu,Local News
2021-07-04,tl447,the coastal stakeholders want the major draft league to start in the country,wadau wa pwani wataka rasimu kuu ya ligi kuanza nchini,Local News
2021-07-04,tl440,fierce competition as universities enter debeni today,ushindani mkali huku vyuo vikuu vikiingia debeni leo,Local News
2021-06-11,tl253,wijnaldum leaves liverpool and joins psg on a three-year contract,wijnaldum aondoka liverpool na kujiunga na psg kwa mkataba wa miaka mitatu,Sports news
2021-06-05,tl181,elders clean agikuyu altar,wazee wasafi madhabahu ya agikuyu,Local News
2021-02-05,tl1502,manager who forged certificates to chew millions bursts with tears in court,meneja aliyeghushi vyeti kutafuna mamilioni abubujikwa na machozi mahakamani,Local News
2021-09-30,tl972,a man is sentenced to 25 years in prison for killing a child,mwanamume ahukumiwa kifungo cha miaka 25 jela kwa kumuua mtoto,Local News
2022-06-30,tl125,moi 's grandson is haunted by his divorced wife who costs more for the children 's upbringing,mjukuu wa moi aandamwa na mkewe aliyetalikiwa ambaye anagharimu zaidi malezi ya watoto,Local News
2021-07-06,tl461,members of parliament threaten to fire magoha,wabunge watishia kumfuta kazi magoha,Local News
2021-06-12,tl270,kenya has again vaccinated 2000 sportsmen,kenya imewachanja tena wanamichezo 2000,Sports news
2021-04-01,tl1166,manda airport expansion begins,upanuzi wa uwanja wa ndege wa manda waanza,Local News
2021-02-07,tl1507,i will tell uhuru to fire you atwoli will threaten kagwe,nitamwambia uhuru akufukuze kazi atwoli atamtishia kagwe,Local News
2022-04-15,tl46,kangaroo warrior targets quarter-finals vancouver 7s,kangaroo warrior alenga robo fainali vancouver 7s,Sports news
2021-10-11,tl1026,coastal counties seeking ? tourists as one area,kaunti za pwani kutafuta ? watalii kama eneo moja,Local News
2021-04-09,tl1216,the boda boda driver is fined sh11000,dereva wa boda boda atozwa faini ya sh11000,Local News
2021-07-26,tl581,raila will name the policy he will follow if he emerges winner in 2022,raila atataja sera atakayoifuata iwapo ataibuka mshindi 2022,Local News
2021-04-20,tl1275,residents of thika to benefit from electricity in the streets,wakazi wa thika kunufaika na umeme mitaani,Local News
2021-08-16,tl698,three feared dead in lamu boat accident,watatu wahofiwa kufariki katika ajali ya boti lamu,Local News
2021-06-08,tl209,bandari fc is ready to defeat equity fc in the semi-final match,bandari fc iko tayari kuifunga equity fc katika mechi ya nusu fainali,Sports news
2021-10-08,tl1011,residents are starving as livestock continues to perish,wakazi wakufa njaa huku mifugo ikiendelea kuangamia,Local News
2021-07-08,tl468,call eacc to investigate education officers .,wito wa eacc kuchunguza maafisa wa elimu .,Local News
2021-04-30,tl1322,flood warning for lake victoria area,tahadhari ya mafuriko kwa eneo la ziwa victoria,Local News
2021-08-17,tl703,six policemen associated with the murder of brothers wawilli of embu arrested,polisi sita wanaohusishwa na mauaji ya ndugu wawilli wa embu wakamatwa,Local News
2021-07-07,tl464,sindwele runs away from his driver due to 'gluttony ' .,sindwele anamkimbia dereva wake kutokana na 'gluttony ' .,Local News
2021-04-24,tl1288,mahanga shows sincere loyalty to obado,mahanga aonyesha uaminifu wa dhati kwa obado,Local News
2021-06-05,tl184,matasi 's wife and son underwent surgery on monday,mke na mtoto wa matasi walifanyiwa upasuaji jumatatu,Local News
2021-02-09,tl1518,extended school week,wiki ya shule iliyopanuliwa,Local News
2021-08-27,tl757,raila : the important places of vaccination are in markets schools,raila : maeneo muhimu ya chanjo yako masokoni shuleni,Local News
2021-10-24,tl1064,tsc to promote more than 2400 teacher posts,tsc kukuza nafasi za walimu zaidi ya 2400,Local News
2021-05-12,tl1380,the judge gives his decision in standard kiswahili,jaji atoa uamuzi wake kwa kiswahili sanifu,Local News
2022-04-24,tl49,friday april 29 is a kenyan holiday in honor of kibaki - matiang ' i,ijumaa aprili 29 ni sikukuu ya kenya kwa heshima ya kibaki - matiang ' i,Local News
2021-09-03,tl797,schools lack water for children to cook,shule hazina maji kwa watoto kupika,Local News
2021-09-04,tl799,six police officers reject six lawyers appointed by chief justice martha koome to defend them in the case of the murder of two brothers,maafisa sita wa polisi wakataa mawakili sita walioteuliwa na jaji mkuu martha koome kuwatetea katika kesi ya mauaji ya ndugu wawili,Local News
2021-03-03,tl1645,sorry fans it was just a physical test – samidoh .,samahani mashabiki ulikuwa mtihani wa kimwili tu - samidoh .,Local News
2021-09-28,tl946,mt kenya leaders give raila wishes,viongozi wa mt kenya wampa raila matakwa,Local News
2021-09-20,tl895,four police officers accused of murdering lawyer willy kimani,maafisa wanne wa polisi wanaotuhumiwa kumuua wakili willy kimani,Local News
2021-06-17,tl299,94 students from thika get scholarships,wanafunzi 94 kutoka thika wapata ufadhili wa masomo,Local News
2021-04-01,tl1169,fgm in mount kenya is caused by a curse,ukeketaji katika mlima kenya husababishwa na laana,Local News
2021-10-20,tl1051,ogoti azimwa to hear the case against governor njuki and his wife,ogoti azimwa kusikiliza kesi dhidi ya gavana njuki na mkewe,Local News
2021-06-12,tl264,bodaboda waiter survives death from defeat,mhudumu wa bodaboda anusurika kifo kutokana na kushindwa,Local News
2022-03-22,tl39,ntsa offers new training for drivers,ntsa yatoa mafunzo mapya kwa madereva,Local News
2021-07-03,tl430,bbi : karua claims freedom he usurped citizen 's power,bbi : karua adai uhuru alitumia nguvu za raia,Local News
2022-05-04,tl66,kalonzo rejects consultations to search for a co-contestant,kalonzo akataa mashauriano ya kutafuta mshindani mwenza,Local News
2021-02-04,tl1491,port construction to continue,ujenzi wa bandari kuendelea,Local News
2021-09-18,tl884,new name for teachers in the field,jina jipya kwa walimu shambani,Local News
2021-04-19,tl1267,experts admit that early coffee is not even important,wataalamu wanakiri kuwa kahawa ya mapema sio muhimu hata,Health news
2021-03-23,tl1767,four injured after the boat hit the beach wall in mokowe area,wanne wajeruhiwa baada ya boti hiyo kugonga ukuta wa pwani eneo la mokowe,Local News
2021-05-13,tl1384,28000 ' e ' kcse passers still have a chance to succeed in life,wapita njia 28000 wa ' e ' kcse bado wana nafasi ya kufanikiwa maishani,Local News
2021-06-23,tl337,somalia afghanistan most dangerous for children 's lives .,somalia afghanistan hatari zaidi kwa maisha ya watoto .,International news
2021-12-04,tl1124,jumwa and 6 others want the corruption case against them to be heard again,jumwa na wenzake 6 wanataka kesi ya ufisadi dhidi yao isikilizwe tena,Local News
2021-10-09,tl1015,relief if the price of coffee strengthens,unafuu endapo bei ya kahawa itaimarika,Local News
2021-06-07,tl198,a mau mau fighter 's mother explains the abuses she experienced,mama wa mpiganaji wa mau mau aelezea unyanyasaji aliopitia,Local News
2021-10-06,tl1004,residents cry bad bridge and empty promises,wakazi walia daraja baya na ahadi tupu,Local News
2021-04-01,tl1168,the liwatoni bridge increases the risk of corona spreading,daraja la liwatoni laongeza hatari ya kusambaa kwa corona,Local News
2021-08-15,tl694,tsc accused of cutting fees for non-socialist teachers,tsc yatuhumiwa kupunguza ada kwa walimu wasio wajamaa,Local News
2021-05-08,tl1362,authors who are working on their work are incentivized,waandishi wanaofanya kazi zao wanahamasishwa,Local News
2021-09-16,tl868,those who depend on construction workers cried out that the increase in the price of oil will suppress them further,wale wanaotegemea wafanyakazi wa ujenzi walilia kuwa ongezeko la bei ya mafuta litawakandamiza zaidi,Local News
2021-02-24,tl1605,the poor health sector for the rich affected,sekta maskini ya afya kwa matajiri walioathirika,Local News
2021-03-19,tl1749,magufuli 's administration oppressed human rights,utawala wa magufuli wakandamiza haki za binadamu,Local News
2021-04-20,tl1278,murder suspect detained for 14 days,mtuhumiwa wa mauaji akamatwa kwa siku 14,Local News
2021-07-22,tl554,police prevent citizens from collecting fuel when another truck crashes,polisi wazuia wananchi kukusanya mafuta wakati lori lingine linapoanguka,Local News
2021-02-15,tl1549,bbi connects the trunks of mulembe,bbi yaunganisha vigogo wa mulembe,Local News
2021-06-10,tl221,the coast has a shortage of fish despite being a neighbor of the sea,pwani ina uhaba wa samaki licha ya kuwa jirani wa bahari,Local News
2021-05-01,tl1323,the price of majanichai has decreased by 12 percent - ktda,bei ya majanichai imepungua kwa asilimia 12 - ktda,Local News
2021-08-31,tl779,kagwe threatens to punish those who give vaccines,kagwe atishia kuwaadhibu wanaotoa chanjo,Local News
2021-05-05,tl1343,mwathi elected chairman of the security committee in parliament,mwathi achaguliwa kuwa mwenyekiti wa kamati ya usalama bungeni,Local News
2021-03-24,tl1774,kenya airways announces huge loss of sh36.6b,kenya airways yatangaza hasara kubwa ya sh36.6b,Financial news
2022-05-11,tl75,herdsmen in arid areas cried that the government has neglected them,wafugaji katika maeneo kame walilia kwamba serikali imewapuuza,Local News
2021-08-14,tl691,residents fear war between herding communities,wakaazi wahofia vita kati ya jamii za wafugaji,Local News
2021-08-07,tl652,mixed emotions ezekiel mutua being fired from the film board,hisia mchanganyiko ezekiel mutua afutwa kazi kutoka bodi ya filamu,Local News
2021-03-11,tl1691,councilor wants sand harvesting to be allowed in makuyu to avoid crime and crime,diwani ataka uvunaji wa mchanga uruhusiwe makuyu kuepuka uhalifu na uhalifu,Local News
2021-09-22,tl908,oil price : kioni insists that mps are to blame,bei ya mafuta : kioni asisitiza kuwa wabunge ndio wa kulaumiwa,Local News
2021-11-16,tl1092,matiang ' i plans to shut down cases of prisoners escaping jail,matiang ' i apanga kufunga kesi za wafungwa kutoroka jela,Local News
2021-08-24,tl736,sh10000 fine or jail for spitting in the city,sh10000 faini au jela kwa kutema mate jijini,Local News
2021-09-30,tl966,the netherlands collaborate with kenya to emerge with a type of potato that will resist the effects of climate change,uholanzi inashirikiana na kenya kuibuka na aina ya viazi vitakavyopinga athari za mabadiliko ya tabianchi,International news
2021-08-12,tl676,expert crushes mothers who claim they have low milk,mtaalamu awaponda akina mama wanaodai wana maziwa kidogo,Local News
2021-09-23,tl912,tsc investigates teacher for claim of extortion,tsc yamchunguza mwalimu kwa madai ya unyang'anyi,Local News
2022-07-14,tl143,uhuru takes on the task of giving oil prices,uhuru achukua jukumu la kutoa bei ya mafuta,Local News
2021-12-14,tl1140,call for parents to help their children improve academically,wito kwa wazazi kuwasaidia watoto wao kuboresha kitaaluma,Local News
2021-02-18,tl1571,bandari and ingwe fight for points kpl friday,bandari na ingwe wapigania pointi kpl ijumaa,Sports news
2021-02-17,tl1566,a blow to the uda party in machakos after wandani escaped,pigo kwa chama cha uda mjini machakos baada ya wandani kutoroka,Local News
2021-04-03,tl1178,he denied defrauding his partner of sh36m,alikanusha kumlaghai mwenzake sh36m,Local News
2021-09-02,tl793,dci investigates the case of children imprisoned,dci yachunguza kesi ya watoto waliofungwa,Local News
2021-05-20,tl1436,county sends officers to quell land dispute,kaunti yapeleka maafisa kuzima mzozo wa ardhi,Local News
2021-08-30,tl774,fake eacc officer charged,afisa bandia wa eacc ashtakiwa,Local News
2021-06-09,tl216,boxer okwiri to fight for millions in august mike tyson will also be in nairobi,bondia okwiri kupigania mamilioni ya pesa agosti mike tyson pia atakuwa nairobi,Sports news
2021-06-10,tl231,he bakes cakes and breads on the street and his dream is to have branches everywhere,anaoka keki na mikate barabarani na ndoto yake ni kuwa na matawi kila mahali,Entertainment news
2022-02-05,tl21,middlebrough defeat man-united in fa cup through penalty,middlebrough yaishinda man-united katika kombe la fa kupitia penalti,Sports news
2021-06-13,tl272,vihiga queens and thika queens won their zones in the women 's premier league,vihiga queens na thika queens walishinda kanda zao katika ligi kuu ya wanawake,Sports news
2021-02-26,tl1614,amri balala keter to come before the senate,amri balala keter kuja mbele ya seneti,Local News
2021-08-03,tl630,hopes for the resurrection of mumias are strengthening,matumaini ya ufufuo wa mumias yanaimarika,Local News
2021-03-10,tl1684,mku and unitar enter into a cooperation agreement to conduct research and provide training,mku na unitar waingia mkataba wa ushirikiano wa kufanya utafiti na kutoa mafunzo,Local News
2021-09-19,tl892,government to share payment with nurses sent to uk .,serikali kugawana malipo na wauguzi waliopelekwa uingereza .,International news
2021-06-13,tl274,36 interviews to fill 4 positions of iebc commissioners,mahojiano 36 kujaza nafasi 4 za makamishna wa iebc,Local News
2021-02-03,tl1487,sonko breaks down crying in court claims there is an attempt to kill him,sonko avunja kilio mahakamani adai kuna jaribio la kumuua,Local News
2022-01-17,tl13,the department warns about fake preachers in kilifi,idara yaonya kuhusu wahubiri bandia kilifi,Local News
2021-05-14,tl1395,i do n't hate men i consider justice when i make a decision - koome,siwachukii wanaume nachukulia haki ninapofanya uamuzi - koome,Entertainment news
2021-02-20,tl1582,every family to pay sh6000 in new nhif reforms,kila familia kulipa sh6000 katika mageuzi mapya ya nhif,Financial news
2021-11-19,tl1102,president afariji tuju for losing his mother .,rais afariji tuju kwa kumpoteza mama yake .,Local News
2021-06-24,tl385,lissu launches his book today nairobi,lissu azindua kitabu chake leo nairobi,Entertainment news
2021-12-13,tl1135,uon leader to be sentenced on january 22 for contempt of court,kiongozi wa uon kuhukumiwa januari 22 kwa kudharau mahakama,Local News
2021-05-07,tl1355,the government insists on opening schools on monday,serikali yasisitiza kufungua shule jumatatu,Local News
2021-06-10,tl235,roads will be closed in the city when the budget is read,barabara zitafungwa mjini wakati bajeti itakaposomwa,Local News
2021-07-12,tl480,number service distribution campaign begins,kampeni ya usambazaji wa huduma za namba yaanza,Local News
2021-06-03,tl166,writers are given guidance on how to weave articles and exciting news,waandishi wanapewa mwongozo wa jinsi ya kusuka makala na habari za kusisimua,Local News
2021-02-24,tl1607,there is an opportunity to strengthen bbi to make it suitable for kenyans - mudavadi,kuna fursa ya kuimarisha bbi ili kuifanya iwe sawa kwa wakenya - mudavadi,Local News
2021-02-23,tl1601,they defend raila 's statement not to nominate a presidential candidate,wanatetea kauli ya raila ya kutomteua mgombea urais,Local News
2021-09-07,tl817,constant power outages in kang'oo,kukatika kwa umeme mara kwa mara huko kang'oo,Local News
2021-03-18,tl1734,tanzanian president john magufuli dies,rais wa tanzania john magufuli afariki dunia,Local News
2021-02-28,tl1620,business of pregnant women 's urine yanoga tz,biashara ya mkojo wa wanawake wajawazito yanoga tz,Local News
2021-05-20,tl1431,vigogo wa pani blame with empty words,vigogo wa pani lawama kwa maneno matupu,Local News
2021-05-19,tl1430,balala now defends himself about the proposal for the privatization of wildlife parks,balala sasa ajitetea kuhusu pendekezo la ubinafsishaji wa mbuga za wanyamapori,Local News
2021-05-24,tl1448,sossion administration in knut in danger,utawala wa sossion katika knut hatarini,Local News
2021-07-24,tl572,corona : shortage of testing equipment in the country,corona : uhaba wa vifaa vya upimaji nchini,Local News
2021-05-14,tl1396,koome differs from maraga,koome anatofautiana na maraga,Local News
2022-06-14,tl104,damaris nyiva 'minam ' : teacher and talented actress,damaris nyiva 'minam ' : mwalimu na mwigizaji mwenye kipaji,Local News
2021-08-16,tl699,haji orders six policemen to be charged for the murder of two brothers,haji aamuru polisi sita kushtakiwa kwa mauaji ya ndugu wawili,Local News
2021-03-23,tl1766,high electricity charge deprives citizens of clean water,tozo kubwa ya umeme yawanyima wananchi maji safi,Local News
2021-08-07,tl653,school fails to get first form students,shule yashindwa kupata wanafunzi wa kidato cha kwanza,Local News
2021-03-20,tl1753,former eacc leader denies involvement in kemsa saga,kiongozi wa zamani wa eacc akanusha kuhusika na sakata ya kemsa,Local News
2021-08-29,tl765,mku receives a special certificate for being recognized as an official center for awarding graduates with original academic certificates,mku yapokea cheti maalum cha kutambuliwa kama kituo rasmi cha kuwatunuku wahitimu wenye vyeti vya awali vya kitaaluma,Local News
2021-06-13,tl277,strategies to attract foreign investors focus on smes,mikakati ya kuvutia wawekezaji wa kigeni kuzingatia sme,Financial news
2021-07-10,tl470,our courts should imitate other states to improve performance,mahakama zetu zinapaswa kuiga mataifa mengine ili kuboresha utendaji,Local News
2021-10-13,tl1031,a young man who aims to reach the international horizon in the coming years,kijana anayelenga kufikia upeo wa kimataifa miaka ijayo,Entertainment news
2021-07-21,tl547,the government is now criticized for 'bad ' secondary selection .,serikali sasa inakosolewa kwa uteuzi wa sekondari 'mbaya ' .,Local News
2021-03-13,tl1708,eric omondi bows down promises to remove dirty videos from the internet,eric omondi ainama aahidi kuondoa video chafu mitandaoni,Local News
2021-02-01,tl1473,teachers cried out for the government to protect them against terrorism,walimu waliililia serikali kuwalinda dhidi ya ugaidi,Local News
2021-07-19,tl516,only 60000 participants hajj under conditions,washiriki 60000 tu hija chini ya masharti,Local News
2021-10-13,tl1032,artist alisha says betrayal violence brought her to tears,msanii alisha asema usaliti vurugu zilimtoa machozi,Entertainment news
2021-06-11,tl259,fkf succeeds 11 nairobi clubs to receive astrazeneca 's second vaccination,fkf yafanikiwa klabu 11 za nairobi kupokea chanjo ya pili ya astrazeneca,Health news
2021-03-25,tl1780,the lake region gets a chance to say goodbye to dr. magufuli,kanda ya ziwa yapata nafasi ya kumuaga dkt . magufuli,Local News
2021-06-01,tl157,the coast says they have nothing to celebrate madaraka dei,pwani yasema hawana cha kusherehekea madaraka dei,Local News
2021-04-09,tl1219,activist struggles for pranking the president,mwanaharakati apambana kwa kumsifia rais,Entertainment news
2021-08-25,tl740,gospel song artist mary njuguna 's article,makala ya msanii wa nyimbo za injili mary njuguna,Entertainment news
2021-04-22,tl1285,the company requests the government to reduce the cost of electricity,kampuni yaomba serikali kupunguza gharama za umeme,Local News
2022-05-31,tl84,the tension between haji and kinoti is suitable for criminals,mvutano kati ya haji na kinoti unafaa kwa wahalifu,Local News
